Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
146,Alexandra Johannsdottir,MF,is Iceland,22-132,2000,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c5c0dcf
147,Sofie Junge Pedersen,MF,dk Denmark,30-096,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5ff4fb5
148,Anna Josendal,FW,no Norway,21-091,2001,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,73b360ac
149,Sakina Karchaoui,DF,fr France,26-184,1996,5,4,414,4.6,0,2,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,Matches,cf7cde06
150,Marie-Antoinette Katoto,FW,fr France,23-270,1998,2,2,92,1.0,1,1,1,0,0,0,0,0.98,0.98,1.96,0.98,1.96,Matches,bb410065
151,Sari Kees,DF,be Belgium,21-162,2001,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,eaae21eb
152,Chloe Kelly,FWMF,eng England,24-205,1998,5,0,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ff67bf9
153,Juliette Kemppi,FW,fi Finland,28-076,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc807816
154,Fran Kirby,MF,eng England,29-030,1993,5,5,349,3.9,2,3,2,0,0,0,0,0.52,0.77,1.29,0.52,1.29,Matches,bd91e11f
155,Rahel Kiwic,DF,ch Switzerland,31-205,1991,2,1,123,1.4,1,0,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,1f2f344e
156,Sophia Kleinherne,DF,de Germany,22-108,2000,3,1,120,1.3,1,0,1,0,0,0,0,0.75,0.00,0.75,0.75,0.75,Matches,843822a5
157,Emma Koivisto,DF,fi Finland,27-307,1994,3,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4658c710
158,Heidi Kollanen,MF,fi Finland,,,1,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b5ea342
159,Tinja-Riikka Korpela,GK,fi Finland,36-085,1986,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9df8e322
160,Kathrine Kuhl,FW,dk Denmark,19-024,2003,2,1,92,1.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,5b5cd763
161,Natalia Kuikka,DF,fi Finland,26-240,1995,3,2,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42325547
162,Stine Larsen,FW,dk Denmark,26-186,1996,3,0,52,0.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6e9601ef
163,Lena Lattwein,MF,de Germany,22-088,2000,4,1,192,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,22cd470c
